date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:48	264/264	---MCZ	200	added ('OK')	text/plain	etag:W/%225eb2c725-243%22	https://danfoss-drives.com.ua/robots.txt		(from )
10:29:48	88327/88327	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2008:29:47%20GMT	https://danfoss-drives.com.ua/	D:/Development/Copies/danfoss/danfoss-drives.com.ua/index.html	(from )
10:29:48	88161/88161	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2008:29:48%20GMT	https://danfoss-drives.com.ua/ru	D:/Development/Copies/danfoss/danfoss-drives.com.ua/ru.html	(from https://danfoss-drives.com.ua/)
10:29:49	4205/4205	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2001%20Dec%202022%2008:29:48%20GMT	https://danfoss-drives.com.ua/wp-content/themes/technosence/logo_small.png	D:/Development/Copies/danfoss/danfoss-drives.com.ua/wp-content/themes/technosence/logo_small.png	(from https://danfoss-drives.com.ua/)
10:29:49	2468/2468	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225eb02c2b-9a4%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/favicons.ico	D:/Development/Copies/danfoss/danfoss-drives.com.ua/wp-content/themes/technosence/favicons.ico	(from https://danfoss-drives.com.ua/)
10:29:49	271606/271606	---MCZ	200	added ('OK')	text/css	etag:W/%225ed137f1-424f6%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css	D:/Development/Copies/danfoss/danfoss-drives.com.ua/wp-content/themes/technosence/css/style.css	(from https://danfoss-drives.com.ua/)
10:29:49	38/38	---M--	200	added ('OK')	text/css	etag:%225eb02c82-26%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/css/style_ie.css	D:/Development/Copies/danfoss/danfoss-drives.com.ua/wp-content/themes/technosence/css/style_ie.css	(from https://danfoss-drives.com.ua/)
10:29:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2001%20Dec%202022%2008:29:49%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Development/Copies/danfoss/www.googletagmanager.com/gtm.55445.delayed	(from https://danfoss-drives.com.ua/)
10:29:50	1136/1136	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8c-470%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/viber-mobile.png	D:/Development/Copies/danfoss/danfoss-drives.com.ua/wp-content/themes/technosence/images/viber-mobile.png	(from https://danfoss-drives.com.ua/)
10:29:50	1065/1065	---MCZ	200	added ('OK')	image/png	etag:W/%225eb02c8c-429%22	https://danfoss-drives.com.ua/wp-content/themes/technosence/images/telegram-mobile.png	D:/Development/Copies/danfoss/danfoss-drives.com.ua/wp-content/themes/technosence/images/telegram-mobile.png	(from https://danfoss-drives.com.ua/)
